CPU (%),Memory (MB)
0.09,46.54
0.06,46.79
0.06,46.79
0.08,46.54
0.08,46.54
0.08,46.54
0.08,46.79
0.09,46.79
181.94,159.3
81.45,733.3
100.23,1568.77
100.62,2118.66
100.56,3209.22
100.36,3854.34
101.49,4240.38
100.75,4752.38
99.86,4764.67
100.23,4763.65
100.11,3646.46
101.18,5030.91
101.56,5437.44
100.28,5756.93
100.49,5919.74
100.55,5919.74
100.04,5919.74
101.76,5919.74
100.42,4763.65
100.77,4763.65
100.85,5250.05
100.45,5919.74
99.99,5919.74
100.26,5919.74
100.21,5919.74
100.62,4763.65
99.91,5891.07
102.19,5201.92
105.28,6210.56
100.41,6210.56
100.88,6210.56
100.09,5053.44
102.44,6081.54
100.12,6472.7
80.44,608.4
0.11,67.42
0.11,67.63
0.08,67.38
0.07,67.38
0.05,67.14
0.08,67.22
0.08,66.97
0.08,67.22
