CPU (%),Memory (MB)
0.06,36.5
0.13,36.25
0.06,36.25
0.07,36.25
0.07,36.25
0.08,36.25
0.09,36.25
0.05,36.25
48.48,82.19
98.4,1316.86
95.69,3512.32
29.33,3457.02
43.59,3489.79
80.58,3534.85
93.19,3521.54
99.83,3525.63
42.1,3096.58
42.76,3513.34
55.63,3568.64
31.96,3557.38
43.36,3573.76
40.68,3581.95
53.68,3588.1
59.49,3587.07
94.69,3565.57
100.24,3570.69
30.53,2742.27
37.81,3058.69
62.07,3573.76
47.0,3578.88
52.42,3574.78
86.33,3560.45
95.12,3557.38
98.29,3550.21
99.26,3552.26
21.11,2671.62
23.63,2999.3
29.98,3380.22
95.68,3564.54
100.15,3597.31
99.48,2938.88
100.21,3500.03
100.2,3503.1
95.78,2985.98
91.32,3031.04
27.31,37.48
0.06,37.68
0.07,37.68
0.05,37.68
0.09,37.93
0.09,37.68
0.08,37.68
0.08,37.68
0.05,37.68
