CPU (%),Memory (MB)
0.07,44.88
0.09,45.12
0.08,45.12
0.06,42.82
0.08,42.82
0.08,43.07
0.08,42.82
0.08,42.82
75.95,815.0
99.87,3176.45
42.35,3355.65
57.96,3479.55
45.14,3493.89
41.9,3509.25
30.94,3521.54
72.07,3528.7
96.85,3528.7
98.94,3490.82
72.61,2096.13
77.3,3471.36
42.14,3557.38
43.08,3543.04
39.12,3546.11
45.72,3585.02
72.0,3584.0
95.71,3565.57
98.49,3560.45
35.21,2829.31
63.41,3630.08
55.39,3611.65
58.9,3603.46
85.34,3602.43
95.79,3551.23
100.44,3547.14
100.21,3547.14
53.75,2501.63
30.92,2891.78
31.39,3332.1
92.96,3551.23
101.91,3590.14
99.5,2708.48
100.95,3578.88
101.34,3567.62
92.54,3040.26
98.32,2217.98
27.35,40.51
0.09,40.81
0.11,40.81
0.06,40.81
0.08,41.06
0.07,40.81
0.08,40.81
0.06,40.81
