CPU (%),Memory (MB),Time (s)
0.09,24.9,1.596
0.07,24.9,3.608
0.07,24.9,5.626
0.07,24.9,7.642
0.08,24.9,9.654
0.06,24.9,11.674
0.08,24.9,13.688
0.09,24.9,15.698
90.46,382.6,17.703
98.68,1615.87,19.706
77.3,1678.34,21.716
19.11,1688.58,23.722
44.31,1698.82,25.724
52.64,1730.56,27.726
49.58,1733.63,29.73
52.57,1721.34,31.738
52.33,1723.39,33.744
33.11,1060.86,35.751
29.63,1311.74,37.764
29.4,1544.19,39.761
76.94,1700.86,41.77
65.48,898.8,43.776
22.45,26.63,45.777
0.05,26.62,47.785
0.07,26.62,49.789
0.02,26.62,51.794
0.08,26.62,53.804
0.08,26.62,55.804
0.06,26.62,57.81
0.07,26.63,59.815
0.07,26.63,61.814
