CPU (%),Memory (MB),Time (s)
0.07,44.88,1.596
0.09,45.12,3.608
0.08,45.12,5.626
0.06,42.82,7.642
0.08,42.82,9.654
0.08,43.07,11.674
0.08,42.82,13.688
0.08,42.82,15.698
75.95,815,17.703
99.87,3176.45,19.706
42.35,3355.65,21.716
57.96,3479.55,23.722
45.14,3493.89,25.724
41.9,3509.25,27.726
30.94,3521.54,29.73
72.07,3528.7,31.738
96.85,3528.7,33.744
98.94,3490.82,35.751
72.61,2096.13,37.764
77.3,3471.36,39.761
42.14,3557.38,41.77
43.08,3543.04,43.776
39.12,3546.11,45.777
45.72,3585.02,47.785
72,3584,49.789
95.71,3565.57,51.794
98.49,3560.45,53.804
35.21,2829.31,55.804
63.41,3630.08,57.81
55.39,3611.65,59.815
58.9,3603.46,61.814
85.34,3602.43,63.826
95.79,3551.23,65.827
100.44,3547.14,67.84
100.21,3547.14,69.843
53.75,2501.63,71.845
30.92,2891.78,73.851
31.39,3332.1,75.853
92.96,3551.23,77.858
101.91,3590.14,79.864
99.5,2708.48,81.872
100.95,3578.88,83.877
101.34,3567.62,85.882
92.54,3040.26,87.886
98.32,2217.98,89.899
27.35,40.51,91.9
0.09,40.81,93.905
0.11,40.81,95.913
0.06,40.81,97.921
0.08,41.06,99.923
0.07,40.81,101.929
0.08,40.81,103.935
0.06,40.81,105.935
