CPU (%),Memory (MB),Time (s)
0.12,45.61,1.596
0.1,45.61,3.608
0.09,45.61,5.626
0.07,45.61,7.642
0.08,45.36,9.654
0.09,45.86,11.674
0.08,45.61,13.688
0.08,45.61,15.698
0.08,45.36,17.703
92.98,360.6,19.706
88.3,812.4,21.716
100.26,1468.42,23.722
100.24,2364.42,25.724
100.32,3061.76,27.726
100.38,3596.29,29.73
100.47,4025.34,31.738
101.12,4494.34,33.744
100.96,4769.79,35.751
100.17,4768.77,37.764
100.33,4768.77,39.761
100.21,4001.79,41.77
106.36,5106.69,43.776
100.43,5551.1,45.777
101.23,5758.98,47.785
100.36,5923.84,49.789
99.88,5924.86,51.794
100.44,5923.84,53.804
99.98,5924.86,55.804
100.34,5923.84,57.81
100.16,5921.79,59.815
100.9,4765.7,61.814
100.11,5441.54,63.826
100.2,5921.79,65.827
100.49,5921.79,67.84
100.7,5921.79,69.843
100.24,4764.67,71.845
100.59,4764.67,73.851
100.36,4659.2,75.853
99.93,5923.84,77.858
99.26,6081.54,79.864
100.27,6124.54,81.872
100.42,6089.73,83.877
100.08,6124.54,85.882
97.88,5596.16,87.886
100.09,5944.32,89.899
73.67,4769.79,91.9
0.2,46.98,93.905
0.06,46.98,95.913
0.08,46.73,97.921
0.09,46.72,99.923
0.09,46.85,101.929
0.09,46.54,103.935
0.08,46.79,105.935
0.07,46.54,107.94
0.06,46.79,109.943
