CPU (%),Memory (MB),Time (s)
0.09,64.63,1.596
0.08,64.63,3.608
0.08,64.63,5.626
0.06,64.63,7.642
0.08,64.63,9.654
0.08,64.88,11.674
0.08,64.88,13.688
0.09,64.63,15.698
0.07,64.63,17.703
62.77,471.2,19.706
100.3,1321.98,21.716
100.21,2409.47,23.722
101.03,3040.26,25.724
100.33,3894.27,27.726
100.41,4746.24,29.73
100.49,3673.09,31.738
92.73,1795.07,33.744
2.87,63.31,35.751
0.06,63.31,37.764
0.08,63.31,39.761
0.07,62.75,41.77
0.13,62.5,43.776
0.05,62.5,45.777
0.05,62.5,47.785
0.08,62.75,49.789
