CPU (%),Memory (MB),Time (s)
0.07,32.89,1.596
0.06,32.89,3.608
0.07,32.89,5.626
0.07,32.89,7.642
0.08,32.89,9.654
0.07,32.89,11.674
0.08,32.89,13.688
0.09,32.89,15.698
0.09,32.89,17.703
76.01,362.1,19.706
97.68,1606.66,21.716
71.28,1679.36,23.722
65.76,1705.98,25.724
67.79,1724.42,27.726
56.86,1730.56,29.73
44.68,1732.61,31.738
33,1720.32,33.744
25.21,1095.68,35.751
21.51,1325.06,37.764
93.86,1729.54,39.761
86.57,1144.83,41.77
0.94,23.9,43.776
0.06,23.96,45.777
0.06,23.96,47.785
0.05,23.96,49.789
0.06,23.99,51.794
0.08,24,53.804
0.08,24.34,55.804
0.08,24.09,57.81
