CPU (%),Memory (MB),Time (s)
0.06,36.5,1.596
0.13,36.25,3.608
0.06,36.25,5.626
0.07,36.25,7.642
0.07,36.25,9.654
0.08,36.25,11.674
0.09,36.25,13.688
0.05,36.25,15.698
48.48,82.19,17.703
98.4,1316.86,19.706
95.69,3512.32,21.716
29.33,3457.02,23.722
43.59,3489.79,25.724
80.58,3534.85,27.726
93.19,3521.54,29.73
99.83,3525.63,31.738
42.1,3096.58,33.744
42.76,3513.34,35.751
55.63,3568.64,37.764
31.96,3557.38,39.761
43.36,3573.76,41.77
40.68,3581.95,43.776
53.68,3588.1,45.777
59.49,3587.07,47.785
94.69,3565.57,49.789
100.24,3570.69,51.794
30.53,2742.27,53.804
37.81,3058.69,55.804
62.07,3573.76,57.81
47,3578.88,59.815
52.42,3574.78,61.814
86.33,3560.45,63.826
95.12,3557.38,65.827
98.29,3550.21,67.84
99.26,3552.26,69.843
21.11,2671.62,71.845
23.63,2999.3,73.851
29.98,3380.22,75.853
95.68,3564.54,77.858
100.15,3597.31,79.864
99.48,2938.88,81.872
100.21,3500.03,83.877
100.2,3503.1,85.882
95.78,2985.98,87.886
91.32,3031.04,89.899
27.31,37.48,91.9
0.06,37.68,93.905
0.07,37.68,95.913
0.05,37.68,97.921
0.09,37.93,99.923
0.09,37.68,101.929
0.08,37.68,103.935
0.08,37.68,105.935
0.05,37.68,107.94
