CPU (%),Memory (MB),Time (s)
0.03,30.84,1.596
0.09,31.09,3.608
0.09,31.09,5.626
0.07,31.09,7.642
0.08,31.09,9.654
0.05,30.84,11.674
0.09,31.09,13.688
0.08,31.09,15.698
0.08,31.09,17.703
92.37,387.4,19.706
73.06,792.3,21.716
100.34,1513.47,23.722
100.22,2411.52,25.724
99.23,3512.32,27.726
100.82,3923.97,29.73
100.7,4399.1,31.738
99.89,4747.26,33.744
100.02,4747.26,35.751
100.2,4747.26,37.764
100.12,4747.26,39.761
100.88,4947.97,41.77
100.36,5273.6,43.776
100.32,5661.7,45.777
100.94,5889.02,47.785
100.04,5901.31,49.789
100.36,5901.31,51.794
100.4,5901.31,53.804
99.92,5901.31,55.804
101.27,4745.22,57.81
100.34,5511.17,59.815
100.46,5902.34,61.814
100.21,5902.34,63.826
99.99,5902.34,65.827
100.37,4745.22,67.84
100.27,3634.18,69.843
100.38,5904.38,71.845
100.38,5740.54,73.851
100.27,6192.13,75.853
100.06,5662.72,77.858
100.44,6192.13,79.864
99.91,5207.04,81.872
100.31,6066.18,83.877
92.42,4937.73,85.882
0.11,53.14,87.886
0.06,52.89,89.899
0.11,53.14,91.9
0.06,52.76,93.905
0.09,52.78,95.913
0.07,52.78,97.921
0.09,52.78,99.923
0.09,52.53,101.929
