CPU (%),Memory (MB),Time (s)
0.09,64.63,2.543
0.08,64.63,4.551
0.08,64.63,6.566
0.06,64.63,8.577
0.08,64.63,10.593
0.08,64.88,12.603
0.08,64.88,14.612
0.09,64.63,16.627
0.07,64.63,18.631
62.77,471.2,20.639
100.3,1321.98,22.642
100.21,2409.47,24.648
101.03,3040.26,26.657
100.33,3894.27,28.659
100.41,4746.24,30.664
100.49,3673.09,32.668
92.73,1795.07,34.67
2.87,63.31,36.675
0.06,63.31,38.679
0.08,63.31,40.683
0.07,62.75,42.682
0.13,62.5,44.693
0.05,62.5,46.695
0.05,62.5,48.701
0.08,62.75,50.705
