CPU (%),Memory (MB)
0.03,30.84
0.09,31.09
0.09,31.09
0.07,31.09
0.08,31.09
0.05,30.84
0.09,31.09
0.08,31.09
0.08,31.09
92.37,387.4
73.06,792.3
100.34,1513.47
100.22,2411.52
99.23,3512.32
100.82,3923.97
100.7,4399.1
99.89,4747.26
100.02,4747.26
100.2,4747.26
100.12,4747.26
100.88,4947.97
100.36,5273.6
100.32,5661.7
100.94,5889.02
100.04,5901.31
100.36,5901.31
100.4,5901.31
99.92,5901.31
101.27,4745.22
100.34,5511.17
100.46,5902.34
100.21,5902.34
99.99,5902.34
100.37,4745.22
100.27,3634.18
100.38,5904.38
100.38,5740.54
100.27,6192.13
100.06,5662.72
100.44,6192.13
99.91,5207.04
100.31,6066.18
92.42,4937.73
0.11,53.14
0.06,52.89
0.11,53.14
0.06,52.76
0.09,52.78
0.07,52.78
0.09,52.78
0.09,52.53
