CPU (%),Memory (MB)
0.06,40.45
0.08,40.45
0.07,40.45
0.08,40.45
0.08,40.7
0.07,40.45
0.08,40.45
0.08,40.45
116.05,388.9
100.5,2487.3
59.84,3475.46
56.5,3499.01
66.62,3515.39
83.1,3503.1
99.79,3508.22
78.5,2142.21
62.29,3409.92
64.94,3571.71
47.41,3555.33
39.87,3566.59
46.99,3590.14
82.24,3577.86
90.12,3582.98
99.92,3574.78
39.91,2826.24
99.7,3565.57
55.33,3629.06
53.8,3566.59
56.41,3560.45
81.35,3566.59
90.15,3551.23
100.06,3553.28
44.14,2447.36
32.19,2843.65
29.58,3256.32
72.1,3271.68
101.3,3556.35
99.74,2724.86
100.44,3532.8
100.28,3532.8
94.19,3134.46
95.0,2222.08
4.55,39.61
0.05,39.61
0.08,39.62
0.06,39.62
0.1,39.62
0.08,39.62
0.09,39.62
0.07,39.62
