CPU (%),Memory (MB),Time (s)
5.28,195.3,1.6
4.29,195.3,3.624
5.53,195.3,5.646
5.02,195.5,7.657
5.8,195.3,9.676
5.02,195.3,11.687
3.96,195.3,13.705
5.77,195.3,15.72
104.8,905,17.72
178.99,906.2,19.734
178.78,906.9,21.743
179.89,907.3,23.744
178.62,909.2,25.755
179.32,909.5,27.763
179.75,909.4,29.769
5.1,589.5,31.777
5.58,589.5,33.79
4.67,589.5,35.789
5.85,589.5,37.798
5.46,269.2,39.816
4.92,269.2,41.823
6.8,268.9,43.825
4.92,268.9,45.837
5.24,268.9,47.845
5.94,269.2,49.853
4.09,268.9,51.865
5.33,269.2,53.872
