CPU (%),Memory (MB),Time (s)
5.28,195.3,1.596
4.29,195.3,3.608
5.53,195.3,5.626
5.02,195.5,7.642
5.8,195.3,9.654
5.02,195.3,11.674
3.96,195.3,13.688
5.77,195.3,15.698
104.8,905,17.703
178.99,906.2,19.706
178.78,906.9,21.716
179.89,907.3,23.722
178.62,909.2,25.724
179.32,909.5,27.726
179.75,909.4,29.73
5.1,589.5,31.738
5.58,589.5,33.744
4.67,589.5,35.751
5.85,589.5,37.764
5.46,269.2,39.761
4.92,269.2,41.77
6.8,268.9,43.776
4.92,268.9,45.777
5.24,268.9,47.785
5.94,269.2,49.789
4.09,268.9,51.794
5.33,269.2,53.804
