Time (s),CPU (%),Memory (MB)
2.033,4.66,199.4
4.043,5.02,199.4
6.062,4.11,199.4
8.081,3.91,199.4
10.095,4.44,199.4
12.098,3.42,199.7
14.129,4.34,199.4
16.14,4.87,199.6
18.146,36.98,208.5
20.149,100.49,208.3
22.162,100.69,208.4
24.164,101.7,209.4
26.174,102.2,209.6
28.182,100.1,209.6
30.19,100.43,209.9
32.2,111.73,209.8
34.207,100.85,209.9
36.211,100.77,210.0
38.211,101.03,210.1
40.22,100.47,210.0
42.234,100.24,210.1
44.247,100.42,210.1
46.246,100.49,210.2
48.259,101.0,210.3
50.264,100.03,210.4
52.279,101.07,210.3
54.288,101.16,210.4
56.301,101.63,210.3
58.304,100.53,210.4
60.308,101.38,210.3
62.313,101.11,210.6
64.316,100.04,210.5
66.329,100.42,210.6
68.33,101.35,210.7
70.333,100.81,210.7
72.343,101.72,210.8
74.35,100.87,210.8
76.357,100.22,210.8
78.362,100.76,210.9
80.372,100.46,210.9
82.381,100.33,210.9
84.387,100.88,211.0
86.392,101.14,211.1
88.407,99.97,211.1
90.416,100.58,211.2
92.42,101.64,211.1
94.423,101.26,211.2
96.427,101.06,211.3
98.439,101.47,211.2
100.438,102.07,211.4
102.445,100.63,211.4
104.459,101.71,211.4
106.47,101.63,211.5
108.474,100.64,211.5
110.477,100.81,211.5
112.491,100.59,211.6
114.501,100.57,211.6
116.502,101.34,211.8
118.504,100.4,211.8
120.51,101.52,211.7
122.52,100.25,211.9
124.524,101.28,211.9
126.532,100.76,211.9
128.539,100.58,212.0
130.539,101.18,211.9
132.547,100.29,211.9
134.562,101.2,212.1
136.566,100.5,212.2
138.574,100.76,212.1
140.579,101.29,212.2
142.589,101.51,212.2
144.593,99.76,212.2
146.603,101.07,212.2
148.604,101.58,212.3
150.604,99.83,212.4
152.618,100.97,212.4
154.623,100.9,212.5
156.632,100.42,212.4
158.64,100.85,212.6
160.64,100.88,212.6
162.659,100.68,212.7
164.663,100.27,212.6
166.665,101.45,212.8
168.675,101.15,212.7
170.676,100.58,212.7
172.686,100.87,212.9
174.689,99.54,213.0
176.696,101.78,212.9
178.697,100.18,212.9
180.697,101.01,213.0
182.705,100.91,213.0
184.716,101.3,213.1
186.715,101.16,213.2
188.724,101.28,213.1
190.722,100.9,213.2
192.73,101.15,213.2
194.741,101.7,213.3
196.747,100.72,213.6
198.758,100.83,213.4
200.761,100.04,213.5
202.771,100.68,213.5
204.78,101.32,213.6
206.784,101.39,213.6
208.791,100.19,213.6
210.795,101.23,213.6
212.8,100.56,213.7
214.809,99.73,213.7
216.817,100.44,213.9
218.821,100.37,213.8
220.822,100.96,213.8
222.835,101.26,213.9
224.845,100.77,213.9
226.85,100.78,214.1
228.857,100.3,214.1
230.861,100.29,214.4
232.873,101.04,214.1
234.882,99.81,214.2
236.892,101.88,214.2
238.895,100.9,214.2
240.901,101.42,214.4
242.91,102.02,214.3
244.92,99.98,214.3
246.933,100.5,214.5
248.935,100.76,214.5
250.939,100.39,214.5
252.944,100.58,214.6
254.956,100.41,214.5
256.962,100.96,214.6
258.974,99.81,214.7
260.975,100.73,214.8
262.985,100.41,214.8
264.991,100.65,214.8
267.008,100.72,214.9
269.007,100.43,214.9
271.008,101.67,214.9
273.023,100.88,214.9
275.026,100.86,215.0
277.038,100.19,215.0
279.044,100.65,215.0
281.045,101.47,215.2
283.055,101.01,215.2
285.062,101.34,215.2
287.071,101.14,215.2
289.082,100.34,215.1
291.083,100.5,215.3
293.095,100.62,215.4
295.104,101.64,215.5
297.113,99.89,215.5
299.115,100.78,215.4
301.124,100.76,215.7
303.129,100.99,215.6
305.134,100.94,215.6
307.141,101.7,215.6
309.144,100.81,215.8
311.154,101.01,215.7
313.158,101.0,215.7
315.166,101.78,215.9
317.181,101.09,215.9
319.183,100.2,216.1
321.192,101.8,215.9
323.199,101.4,216.3
325.21,100.64,216.1
327.219,100.84,216.0
329.22,100.23,216.0
331.226,101.19,216.2
333.236,101.43,216.1
335.244,100.77,216.3
337.248,100.77,216.2
339.252,101.54,216.4
341.255,101.8,216.4
343.259,100.88,216.4
345.268,101.54,216.5
347.278,99.54,216.6
349.286,100.62,216.6
351.294,100.68,216.5
353.3,101.54,216.7
355.307,100.45,216.5
357.318,101.01,216.8
359.316,102.16,216.8
361.321,100.75,216.8
363.338,100.85,216.8
365.345,101.81,216.9
367.351,100.95,217.0
369.361,100.47,216.9
371.367,99.78,217.0
373.375,101.57,217.1
375.38,101.21,217.1
377.388,101.47,217.2
379.387,101.22,217.2
381.395,101.68,217.2
383.404,100.38,217.3
385.405,100.56,217.3
387.413,100.5,217.2
389.421,100.92,217.4
391.422,101.35,217.3
393.425,101.44,217.5
395.433,100.29,217.5
397.432,100.4,217.6
399.434,101.33,217.5
401.436,101.08,217.6
403.441,100.8,217.7
405.45,101.43,217.7
407.455,101.17,217.8
