Time (s),CPU (%),Memory (MB)
1.975,13.41,483.1
3.984,15.75,483.3
6.005,13.7,479.7
8.037,39.42,479.8
10.043,41.0,482.6
12.05,14.33,483.0
14.068,14.52,483.2
16.083,11.74,479.9
18.091,39.31,479.9
20.1,49.9,482.3
22.107,14.19,482.2
24.126,14.4,482.6
26.138,14.29,479.9
28.155,43.93,479.5
30.161,42.64,483.7
32.176,14.27,483.9
34.199,13.35,483.4
36.203,41.79,477.1
38.213,49.64,477.6
40.223,13.93,477.3
42.228,15.5,481.7
44.248,14.36,481.7
46.264,62.09,479.6
48.272,38.69,479.5
50.278,14.51,479.5
52.289,15.25,482.8
54.302,13.43,483.2
56.321,62.55,476.7
58.329,43.42,477.2
60.331,13.36,476.5
62.348,14.2,479.5
64.364,14.21,480.0
66.38,90.8,477.8
68.397,47.95,477.6
70.401,14.42,477.5
72.408,14.23,479.2
74.421,11.97,479.1
76.425,66.34,479.0
78.438,37.31,479.0
80.455,15.46,478.7
82.466,12.91,483.6
84.483,14.57,483.1
86.494,36.17,486.9
88.504,44.31,479.6
90.512,13.2,479.9
92.531,49.09,484.1
94.541,13.37,483.6
96.551,14.48,483.9
98.568,34.14,478.7
100.584,14.29,478.6
102.59,45.11,482.8
104.606,14.83,483.1
106.61,14.21,482.3
108.635,42.21,478.1
110.644,11.57,478.1
112.651,46.14,483.1
114.669,13.58,482.8
116.682,14.32,483.8
118.685,37.93,480.6
120.699,10.74,480.4
122.71,42.34,483.5
124.73,14.54,482.8
126.736,13.23,483.1
128.751,35.37,479.3
130.768,14.07,479.4
132.773,41.8,481.9
134.789,12.33,481.4
136.803,14.78,482.1
138.825,66.96,482.3
140.839,14.34,482.3
142.854,18.1,482.6
144.861,13.92,484.5
146.868,14.5,485.0
148.882,90.87,485.2
150.894,14.11,485.2
152.897,17.19,486.0
154.913,12.17,488.4
156.931,14.92,487.7
158.937,99.92,481.9
160.946,12.94,482.5
162.956,17.01,482.6
164.974,14.42,484.3
166.988,14.38,484.3
168.999,85.38,480.4
171.004,15.18,481.1
173.021,19.96,481.5
175.034,13.24,483.5
177.038,42.81,436.3
179.05,110.67,474.2
181.061,14.4,473.3
183.065,21.86,474.3
185.082,16.04,486.8
187.1,14.91,486.7
189.115,30.94,486.6
191.141,14.21,494.0
193.151,30.03,494.6
195.176,40.71,502.5
197.193,13.51,503.0
199.203,29.35,502.3
201.221,12.49,476.7
203.235,24.28,477.4
205.25,43.03,483.5
207.262,11.46,483.3
209.273,32.28,483.6
211.287,14.34,479.5
213.295,26.32,480.6
215.307,54.69,483.6
217.319,12.78,483.7
219.323,25.31,483.9
221.335,14.3,478.9
223.342,29.55,479.1
225.352,49.53,484.8
227.367,12.64,484.0
229.38,21.58,483.8
231.388,22.92,479.5
233.402,37.79,480.0
235.413,14.38,479.7
237.426,15.42,485.2
239.438,17.84,485.6
241.443,50.43,492.5
243.452,42.06,493.6
245.472,14.45,493.2
247.478,14.34,476.3
249.49,14.93,476.7
251.506,38.88,483.6
253.504,33.24,483.7
255.516,15.56,483.6
257.536,14.51,479.8
259.553,17.0,479.7
261.573,44.71,485.4
263.59,37.22,485.1
265.61,15.32,484.9
267.626,13.31,493.9
269.634,14.38,493.8
271.648,74.96,480.6
273.663,42.4,480.4
