Time (s),CPU (%),Memory (MB)
1.745,14.67,586.6
3.752,17.98,587.4
5.778,34.44,591.9
7.783,14.44,591.9
9.801,32.31,608.8
11.828,13.79,609.0
13.847,14.56,608.8
15.864,32.8,623.7
17.874,13.67,623.7
19.891,44.35,585.8
21.901,13.5,586.1
23.914,15.39,585.9
25.925,32.24,586.9
27.943,15.35,586.9
29.96,29.64,588.1
31.972,14.4,588.2
33.995,14.17,588.2
36.004,29.19,604.5
38.015,13.44,604.5
40.025,30.08,620.8
42.04,11.8,620.9
44.048,13.14,620.9
46.05,56.12,585.7
48.074,13.27,585.8
50.083,15.01,585.6
52.095,14.24,586.5
54.113,14.42,586.5
56.128,37.29,594.5
58.139,14.39,594.6
60.154,14.81,594.4
62.171,11.37,612.3
64.194,14.61,612.3
66.196,45.06,629.6
68.213,13.03,629.8
70.228,13.53,629.6
72.247,13.41,646.8
74.253,13.7,646.9
76.268,65.31,586.8
78.285,15.74,587.0
80.303,13.28,586.8
82.317,14.66,587.7
84.33,14.96,587.7
86.342,43.62,591.5
88.356,15.2,591.4
90.371,13.59,591.2
92.381,27.38,608.8
94.398,13.77,608.6
96.41,31.8,608.7
98.427,14.76,625.6
100.449,13.52,625.4
102.457,28.36,642.9
104.469,14.56,642.9
106.487,30.27,642.9
108.498,13.27,586.4
110.508,15.22,586.6
112.52,30.46,587.5
114.536,15.64,587.4
116.548,30.12,587.5
118.559,13.52,589.3
120.569,15.49,589.1
122.579,29.91,605.6
124.59,15.61,605.7
126.601,28.54,605.7
128.61,13.4,621.9
130.617,18.01,621.9
132.633,27.4,634.9
134.642,12.4,639.5
136.661,24.45,639.5
138.671,45.07,586.1
140.676,22.49,586.2
142.694,14.2,586.2
144.717,14.28,587.1
146.728,19.64,587.2
148.737,31.15,591.5
150.742,23.77,591.5
152.766,15.35,591.6
154.786,14.17,607.6
156.805,22.35,607.9
158.81,29.85,624.9
160.823,20.02,625.1
162.842,14.96,625.0
164.855,12.48,642.3
166.874,24.49,642.1
168.888,55.48,585.7
170.904,24.51,585.7
172.919,13.35,585.7
174.932,25.77,586.7
176.936,24.39,586.7
178.949,12.07,586.7
180.96,24.06,592.1
182.983,14.35,592.1
184.994,47.18,583.8
187.004,20.17,583.9
189.011,12.44,583.9
191.027,30.19,585.1
193.047,13.81,584.9
195.059,31.49,591.3
197.072,15.68,591.4
199.091,14.66,591.6
201.096,31.61,608.2
203.111,13.32,608.0
205.128,29.25,623.3
207.134,14.25,623.4
209.146,13.11,623.4
211.156,29.62,585.6
213.167,14.16,585.6
215.176,19.41,586.2
217.183,12.17,586.6
219.198,13.85,586.9
221.206,49.14,590.5
223.225,14.83,590.4
225.238,14.0,590.4
227.254,14.3,606.4
229.261,15.22,606.4
231.287,46.73,622.4
233.297,14.43,622.2
235.31,12.35,622.2
237.322,14.08,639.4
239.347,39.91,546.2
241.35,60.83,561.9
243.366,14.13,561.9
245.383,14.83,561.9
247.387,12.28,575.7
249.404,14.2,575.5
251.41,40.5,593.7
253.424,13.45,593.1
255.432,15.95,593.1
257.445,29.57,610.6
259.475,14.11,610.6
261.481,31.12,610.5
263.507,13.78,627.8
265.517,13.29,627.5
267.524,30.59,642.7
269.548,14.41,642.9
271.556,28.98,642.7
273.583,14.82,574.1
275.61,13.14,574.1
277.617,31.79,575.0
