Time (s),CPU (%),Memory (MB)
1.6,5.67,205.0
3.624,4.14,204.9
5.646,4.32,204.6
7.657,3.94,204.6
9.676,5.04,204.9
11.687,5.08,205.0
13.705,4.28,204.7
15.72,4.25,204.8
17.72,4.8,204.6
19.734,100.62,214.3
21.743,101.47,214.1
23.744,101.06,214.2
25.755,101.32,215.3
27.763,101.41,215.4
29.769,101.65,215.5
31.777,101.08,216.1
33.79,101.82,215.7
35.789,101.52,215.9
37.798,101.6,215.7
39.816,102.16,216.1
41.823,101.68,216.3
43.825,101.89,215.8
45.837,101.62,216.1
47.845,101.4,215.9
49.853,101.37,216.5
51.865,101.6,216.3
53.872,101.28,216.5
55.882,101.54,216.0
57.892,100.98,216.4
59.897,101.41,216.2
61.907,101.29,216.4
63.914,101.77,216.4
65.922,100.97,216.5
67.931,101.62,216.5
69.942,101.28,216.2
71.945,101.6,216.7
73.949,101.32,216.5
75.964,101.66,216.5
77.972,101.13,216.6
79.973,101.46,216.9
81.981,101.1,216.7
83.987,101.53,217.0
85.997,101.16,217.0
88.008,101.64,216.9
90.009,101.86,216.7
92.017,101.76,217.1
94.022,101.4,217.1
96.031,101.32,217.0
98.048,101.21,217.2
100.055,101.51,217.1
102.061,101.65,217.0
104.067,101.52,217.1
106.077,101.13,217.1
108.084,101.23,217.4
110.096,101.53,217.2
112.1,101.38,217.3
114.11,101.53,217.3
116.117,101.77,217.7
118.124,101.69,217.8
120.13,101.7,217.6
122.139,101.82,217.3
124.142,101.43,218.0
126.155,101.61,217.6
128.163,101.08,217.6
130.17,101.2,217.9
132.18,101.45,217.9
134.189,101.6,217.8
136.195,100.98,217.6
138.201,101.63,218.0
140.217,101.01,217.9
142.222,101.7,218.2
144.225,101.15,217.9
146.239,101.53,218.3
148.248,101.0,217.9
150.26,101.47,218.2
152.27,101.35,218.0
154.277,101.65,218.2
156.279,100.97,218.4
158.293,101.47,218.2
160.307,100.94,218.3
162.313,101.45,218.4
164.326,101.3,218.8
166.328,101.54,218.4
168.335,101.34,218.5
170.353,101.5,218.6
172.355,101.11,218.4
174.359,101.24,218.4
176.367,100.78,218.9
178.375,101.42,218.8
180.384,101.27,218.6
182.388,101.53,219.0
184.402,101.43,218.9
186.407,101.06,218.9
188.415,101.41,219.1
190.422,101.68,218.9
192.426,101.55,219.0
194.436,101.53,219.0
196.446,101.42,219.2
198.452,101.48,219.2
200.463,101.4,219.1
202.475,101.33,219.4
204.475,101.41,219.3
206.481,101.56,219.2
208.494,101.33,219.5
210.502,101.5,219.3
212.508,101.55,219.4
214.513,101.42,219.6
216.522,101.64,219.4
218.529,101.77,219.5
220.544,101.48,219.3
222.543,101.49,219.6
224.556,101.91,219.6
226.559,101.33,219.6
232.586,101.38,219.7
234.457,102.27,219.8
236.459,101.72,219.9
238.46,101.97,220.0
240.473,101.66,219.6
242.482,101.62,220.0
244.487,101.69,219.9
246.495,101.32,220.1
248.506,101.38,220.0
250.512,101.78,220.3
252.524,101.29,220.0
254.53,101.54,220.2
256.539,101.73,220.6
258.55,101.62,220.2
260.556,101.26,220.1
262.557,101.41,220.5
264.569,101.56,220.3
266.574,101.46,220.3
268.588,101.45,220.3
270.591,101.11,220.7
272.594,101.43,220.4
274.599,101.09,220.7
276.611,101.77,220.6
278.613,101.04,220.6
280.623,101.38,220.8
282.631,101.13,220.7
284.634,101.64,220.9
286.645,101.14,220.9
288.661,101.64,221.0
290.664,100.94,220.9
292.675,101.8,221.1
294.681,101.11,221.2
296.687,101.25,221.4
298.699,101.26,221.1
300.705,101.54,221.2
302.714,100.9,221.1
304.722,101.53,221.0
306.726,101.02,221.4
308.74,101.53,221.3
310.743,101.25,221.4
312.753,101.19,221.6
314.76,100.99,221.4
316.769,101.18,221.3
318.774,101.17,221.5
320.782,101.3,221.6
322.793,101.4,221.5
324.789,101.26,221.4
326.802,101.21,221.9
328.81,101.51,221.6
330.813,100.58,221.8
332.825,101.37,221.9
334.832,101.05,221.9
336.84,101.2,221.8
338.853,101.05,222.3
340.859,101.68,221.9
342.87,101.25,222.1
344.874,101.69,222.3
346.883,101.19,222.4
348.893,101.72,222.5
350.896,101.46,222.7
352.901,101.36,222.5
354.905,101.36,223.0
356.918,100.65,222.8
358.925,100.75,222.7
360.935,100.85,222.7
362.951,101.25,223.9
364.951,101.47,224.0
366.958,101.51,223.8
368.977,101.44,223.9
370.991,101.11,224.3
372.999,101.33,224.0
386.366,105.08,224.1
388.372,101.65,224.3
390.373,101.63,223.9
392.382,101.34,224.4
394.391,101.52,225.1
396.4,101.42,225.3
398.4,101.55,225.2
400.41,101.42,225.4
402.418,101.53,225.2
404.422,101.43,225.3
406.434,101.36,225.3
408.441,101.17,225.3
410.453,101.51,225.2
412.46,101.0,225.5
414.465,100.87,227.2
416.468,100.95,227.3
418.475,101.32,227.4
420.487,101.48,227.5
422.499,101.35,227.3
424.503,101.45,227.5
426.511,101.53,227.7
428.509,101.39,227.6
430.517,101.63,227.5
432.519,101.2,227.9
434.531,101.52,227.6
436.541,101.38,227.6
438.546,101.47,227.8
440.554,101.43,227.9
442.564,101.38,228.0
444.579,101.48,227.8
446.583,101.61,227.7
448.587,101.27,228.1
450.601,101.71,228.0
452.605,101.42,228.1
454.614,101.78,228.3
456.63,101.63,228.2
458.628,101.19,228.3
460.636,101.57,228.1
462.651,101.71,228.4
464.645,101.68,228.2
466.656,101.26,228.3
468.664,101.34,228.3
470.676,101.48,228.6
472.679,101.74,228.4
474.685,101.91,228.5
476.696,101.72,228.4
478.705,101.57,228.4
480.708,101.26,228.7
482.716,101.36,228.7
484.725,101.38,228.8
486.728,97.82,228.5
488.727,99.54,228.5
490.733,100.76,228.7
492.743,98.61,228.9
494.758,94.68,228.8
496.76,99.21,228.9
498.771,97.17,229.1
500.782,99.32,229.0
502.797,77.64,229.4
504.808,71.65,229.6
506.815,70.66,230.1
508.834,39.61,224.8
510.856,4.82,224.9
512.877,4.21,224.5
514.882,4.05,224.7
516.905,4.99,224.8
518.916,4.57,224.5
520.934,4.34,224.7
522.962,4.15,224.9
524.973,4.04,224.6
