Time (s),CPU (%),Memory (MB)
1.635,0.07,41.63
3.653,0.05,41.63
5.684,0.04,41.88
7.716,0.08,41.88
9.734,0.07,41.63
11.749,0.06,41.88
13.779,0.07,41.88
15.809,0.05,41.88
17.827,0.06,41.63
19.862,69.63,85.57
21.883,51.58,111.0
23.906,42.93,110.4
25.934,44.91,111.0
27.966,40.05,111.1
29.991,42.56,111.5
32.007,41.25,111.5
34.108,43.08,111.0
36.16,38.41,111.8
38.248,49.82,115.7
40.287,28.97,112.2
42.328,40.4,111.9
44.335,36.2,112.5
46.362,44.33,112.8
48.371,35.67,112.8
50.389,44.74,112.8
52.399,42.22,113.2
54.455,35.14,113.2
56.453,45.13,113.8
58.474,40.94,113.7
60.519,40.39,114.0
62.514,41.84,113.9
64.538,42.96,114.0
66.562,40.09,114.8
68.583,45.66,113.8
70.638,48.35,114.9
72.654,44.16,115.0
74.696,43.53,114.6
76.715,49.65,115.4
78.734,43.34,115.7
80.759,53.22,115.6
82.786,42.27,114.9
84.82,36.81,116.0
86.841,39.42,115.6
88.874,41.44,115.9
90.892,45.59,116.3
92.9,40.03,116.7
94.931,40.31,116.3
96.94,51.06,116.9
98.972,42.86,117.3
100.987,66.02,117.3
103.008,46.1,117.0
105.028,78.37,117.5
107.089,38.77,117.3
109.092,38.12,116.8
111.12,38.84,118.0
113.143,0.97,117.1
115.174,0.13,116.9
117.185,0.26,117.1
119.203,21.09,118.0
121.234,44.4,118.3
123.25,37.33,118.3
125.32,36.69,118.3
127.305,35.95,118.8
129.325,31.45,121.6
131.361,39.94,118.1
133.4,32.0,122.2
135.42,30.25,119.2
137.455,11.66,118.6
139.49,0.27,118.5
141.5,28.81,120.1
143.606,44.98,120.0
145.624,23.45,120.0
147.628,37.48,119.9
149.684,35.4,120.4
151.694,39.33,120.7
153.71,40.31,120.5
155.726,35.31,120.9
157.788,34.98,121.0
159.765,29.06,121.4
161.793,10.99,120.3
163.81,0.2,120.3
165.861,23.21,121.0
167.877,0.28,120.6
169.887,0.18,120.6
171.908,0.21,120.6
173.916,32.41,121.7
175.995,52.71,165.8
178.001,27.71,164.2
180.013,27.45,164.1
182.026,26.12,164.4
184.039,28.56,163.9
186.05,26.18,163.9
188.058,26.79,164.0
190.069,29.5,164.3
192.078,29.23,164.3
194.093,28.49,164.2
196.105,26.88,163.9
198.11,28.06,164.4
200.129,36.48,164.3
202.136,42.37,164.0
204.169,41.66,164.1
206.184,35.3,164.1
208.176,29.21,164.1
210.18,28.79,164.4
212.194,26.28,164.0
214.202,26.06,164.1
216.217,30.26,164.2
218.233,26.58,164.4
220.243,26.89,164.3
222.255,26.29,164.2
224.268,27.29,162.6
226.289,25.36,162.8
228.307,24.27,162.2
230.313,25.1,162.4
232.324,37.5,162.4
234.331,41.54,161.7
236.343,31.0,161.9
238.354,27.19,161.6
240.365,26.26,161.5
242.381,27.25,161.8
244.393,28.44,161.5
246.403,27.5,161.3
248.41,29.58,161.4
250.427,28.42,161.4
252.439,28.7,161.3
254.451,29.6,161.6
256.478,39.44,161.8
258.482,38.88,161.5
260.494,42.16,161.8
262.495,45.8,161.8
264.511,22.99,161.2
266.526,25.9,161.3
268.532,26.76,161.3
270.539,26.6,161.0
272.557,35.31,161.6
274.572,42.06,161.2
276.585,29.1,161.7
278.597,27.96,161.4
280.604,26.35,161.5
282.613,25.26,161.4
284.621,25.86,161.2
286.633,28.54,161.3
288.651,28.88,161.1
290.664,40.91,161.4
292.667,36.84,161.0
294.681,28.54,161.2
296.691,26.24,161.3
298.7,26.85,161.0
300.702,25.55,161.0
302.71,26.96,161.2
304.729,22.56,161.3
306.735,24.09,161.4
308.747,22.46,161.6
310.752,21.29,161.4
312.761,20.25,161.1
314.774,22.07,161.4
316.796,22.79,161.1
318.796,28.6,161.4
320.814,101.79,110.0
322.83,0.08,107.9
324.847,0.05,107.9
326.873,0.05,107.9
328.878,0.05,107.9
330.896,0.05,107.9
332.94,0.11,107.9
334.954,0.05,107.9
336.972,0.04,107.9
