CPU (%),Memory Usage (MB),Net In (kB),Net Out (kB),Block In (MB),Block Out (MB)
0.08,50.61,1.25kB,0B,38.8MB,0B
0.08,50.61,1.25kB,0B,38.8MB,0B
0.07,50.61,1.25kB,0B,38.8MB,0B
0.08,50.61,1.25kB,0B,38.8MB,0B
0.08,50.61,1.25kB,0B,38.8MB,0B
0.11,50.61,1.25kB,0B,38.8MB,0B
0.08,50.61,1.25kB,0B,38.8MB,0B
0.09,50.61,1.25kB,0B,38.8MB,0B
0.09,50.61,1.25kB,0B,38.8MB,0B
0.09,50.61,1.25kB,0B,38.8MB,0B
0.07,50.61,1.25kB,0B,38.8MB,0B
46.61,113.4,5.3kB,2.86kB,106MB,0B
75.58,256.1,5.3kB,2.86kB,396MB,0B
130.97,988.9,5.3kB,2.86kB,425MB,0B
180.13,989.9,5.38kB,2.94kB,425MB,0B
181.51,991.0,5.38kB,2.94kB,425MB,0B
181.24,991.4,5.38kB,2.94kB,425MB,0B
179.38,992.8,5.38kB,2.94kB,425MB,0B
181.47,993.6,5.38kB,2.94kB,425MB,0B
175.81,994.2,5.38kB,2.94kB,426MB,0B
0.15,673.0,5.38kB,2.94kB,426MB,0B
0.24,673.0,5.38kB,2.94kB,426MB,0B
0.17,673.0,5.38kB,2.94kB,426MB,0B
10.86,672.9,5.38kB,2.94kB,426MB,0B
0.1,112.1,5.84kB,3.87kB,427MB,0B
0.07,112.1,5.84kB,3.87kB,427MB,0B
0.12,112.1,5.88kB,3.92kB,427MB,0B
0.13,112.1,5.88kB,3.92kB,427MB,0B
0.09,112.1,5.88kB,3.92kB,427MB,0B
0.12,112.1,5.88kB,3.92kB,427MB,0B
0.05,112.1,5.88kB,3.92kB,427MB,0B
0.09,112.1,5.88kB,3.92kB,427MB,0B
0.08,112.1,5.88kB,3.92kB,427MB,0B
0.09,112.1,5.88kB,3.92kB,427MB,0B
0.09,112.1,5.88kB,3.92kB,427MB,0B
0.12,112.1,5.88kB,3.92kB,427MB,0B
