CPU (%),Memory Usage (MB),Net In (kB),Net Out (kB),Block In (MB),Block Out (MB)
5.41,219.7,1.32kB,0B,360MB,0B
5.09,219.7,1.32kB,0B,360MB,0B
4.72,219.7,1.32kB,0B,360MB,0B
5.1,219.7,1.32kB,0B,360MB,0B
4.29,219.7,1.32kB,0B,360MB,0B
4.08,219.7,1.32kB,0B,360MB,0B
3.61,219.7,1.32kB,0B,360MB,0B
5.51,219.7,1.32kB,0B,360MB,0B
5.69,219.7,1.32kB,0B,360MB,0B
4.53,219.7,1.32kB,0B,360MB,0B
5.03,219.9,1.32kB,0B,360MB,0B
23.84,391.1,2.38kB,182B,360MB,0B
179.99,924.9,2.38kB,182B,365MB,0B
182.66,925.2,2.38kB,182B,365MB,0B
181.79,926.0,2.42kB,224B,365MB,0B
183.18,927.0,2.42kB,224B,365MB,0B
178.92,928.0,2.42kB,224B,365MB,0B
180.12,929.0,2.42kB,224B,365MB,0B
117.77,287.2,2.56kB,638B,366MB,0B
5.72,287.2,2.56kB,638B,366MB,0B
3.57,287.5,2.56kB,638B,366MB,0B
3.89,287.2,2.69kB,770B,366MB,0B
3.75,287.5,2.69kB,770B,366MB,0B
5.3,287.2,2.69kB,770B,366MB,0B
5.13,287.2,2.69kB,770B,366MB,0B
3.67,287.5,2.69kB,770B,366MB,0B
4.11,287.2,2.69kB,770B,366MB,0B
3.38,287.2,2.69kB,770B,366MB,0B
5.22,287.2,2.76kB,770B,366MB,0B
4.98,287.2,2.76kB,770B,366MB,0B
4.27,287.2,2.76kB,770B,366MB,0B
4.55,287.5,2.76kB,770B,366MB,0B
4.22,287.2,2.76kB,770B,366MB,0B
