CPU Percentage,Memory Usage,Net In,Net Out,Block In,Block Out
0.08%,50.61MiB,1.25kB,0B,38.8MB,0B
0.08%,50.61MiB,1.25kB,0B,38.8MB,0B
0.07%,50.61MiB,1.25kB,0B,38.8MB,0B
0.08%,50.61MiB,1.25kB,0B,38.8MB,0B
0.08%,50.61MiB,1.25kB,0B,38.8MB,0B
0.11%,50.61MiB,1.25kB,0B,38.8MB,0B
0.08%,50.61MiB,1.25kB,0B,38.8MB,0B
0.09%,50.61MiB,1.25kB,0B,38.8MB,0B
0.09%,50.61MiB,1.25kB,0B,38.8MB,0B
0.09%,50.61MiB,1.25kB,0B,38.8MB,0B
0.07%,50.61MiB,1.25kB,0B,38.8MB,0B
46.61%,113.4MiB,5.3kB,2.86kB,106MB,0B
75.58%,256.1MiB,5.3kB,2.86kB,396MB,0B
130.97%,988.9MiB,5.3kB,2.86kB,425MB,0B
180.13%,989.9MiB,5.38kB,2.94kB,425MB,0B
181.51%,991MiB,5.38kB,2.94kB,425MB,0B
181.24%,991.4MiB,5.38kB,2.94kB,425MB,0B
179.38%,992.8MiB,5.38kB,2.94kB,425MB,0B
181.47%,993.6MiB,5.38kB,2.94kB,425MB,0B
175.81%,994.2MiB,5.38kB,2.94kB,426MB,0B
0.15%,673MiB,5.38kB,2.94kB,426MB,0B
0.24%,673MiB,5.38kB,2.94kB,426MB,0B
0.17%,673MiB,5.38kB,2.94kB,426MB,0B
10.86%,672.9MiB,5.38kB,2.94kB,426MB,0B
0.10%,112.1MiB,5.84kB,3.87kB,427MB,0B
0.07%,112.1MiB,5.84kB,3.87kB,427MB,0B
0.12%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.13%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.09%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.12%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.05%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.09%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.08%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.09%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.09%,112.1MiB,5.88kB,3.92kB,427MB,0B
0.12%,112.1MiB,5.88kB,3.92kB,427MB,0B
